InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV509337,SKU1651,Product SKU1651,12,2025-01-08,307.73,1201,United Kingdom
INV782527,SKU1468,Product SKU1468,10,2025-01-08,229.23,1334,United Kingdom
INV682531,SKU1360,Product SKU1360,4,2025-01-08,238.27,1006,United Kingdom
INV532829,SKU1687,Product SKU1687,1,2025-01-08,231.27,1148,United Kingdom
INV529385,SKU1558,Product SKU1558,5,2025-01-08,32.52,1287,United Kingdom
INV699980,SKU1034,Product SKU1034,13,2025-01-08,51.44,1484,United Kingdom
INV193948,SKU1920,Product SKU1920,3,2025-01-08,218.19,1168,United Kingdom
INV582604,SKU1343,Product SKU1343,8,2025-01-08,45.36,1081,United Kingdom
INV411385,SKU1720,Product SKU1720,4,2025-01-08,56.0,1156,United Kingdom
INV867768,SKU1473,Product SKU1473,1,2025-01-09,124.49,1311,United Kingdom
INV444087,SKU1015,Product SKU1015,4,2025-01-09,77.65,1349,United Kingdom
INV153051,SKU1334,Product SKU1334,13,2025-01-09,29.08,1170,United Kingdom
INV995596,SKU1137,Product SKU1137,10,2025-01-09,94.62,1176,United Kingdom
INV977742,SKU1462,Product SKU1462,3,2025-01-09,52.9,1413,United Kingdom
INV860581,SKU1073,Product SKU1073,7,2025-01-09,345.18,1037,United Kingdom
INV739548,SKU1309,Product SKU1309,2,2025-01-09,79.27,1206,United Kingdom
INV951980,SKU1924,Product SKU1924,11,2025-01-09,242.56,1291,United Kingdom
INV776542,SKU1873,Product SKU1873,8,2025-01-09,66.29,1365,United Kingdom
INV693391,SKU1253,Product SKU1253,7,2025-01-10,38.96,1296,United Kingdom
INV339455,SKU1505,Product SKU1505,2,2025-01-10,87.36,1163,United Kingdom
INV789556,SKU1896,Product SKU1896,14,2025-01-10,69.28,1061,United Kingdom
INV784500,SKU1212,Product SKU1212,8,2025-01-10,409.77,1201,United Kingdom
INV837371,SKU1139,Product SKU1139,1,2025-01-10,45.38,1274,United Kingdom
INV199704,SKU1638,Product SKU1638,6,2025-01-10,137.31,1374,United Kingdom
INV145689,SKU1913,Product SKU1913,1,2025-01-10,416.76,1201,United Kingdom
INV182180,SKU1919,Product SKU1919,10,2025-01-10,99.2,1008,United Kingdom
INV953349,SKU1987,Product SKU1987,12,2025-01-10,382.25,1208,United Kingdom
INV700441,SKU1633,Product SKU1633,13,2025-01-10,92.47,1044,United Kingdom
INV864629,SKU1505,Product SKU1505,1,2025-01-10,68.12,1108,United Kingdom
INV412916,SKU1405,Product SKU1405,6,2025-01-11,97.98,1155,United Kingdom
INV157993,SKU1969,Product SKU1969,14,2025-01-11,70.56,1045,United Kingdom
INV642112,SKU1766,Product SKU1766,7,2025-01-11,71.99,1303,United Kingdom
INV596564,SKU1008,Product SKU1008,9,2025-01-11,444.97,1347,United Kingdom
INV476606,SKU1768,Product SKU1768,12,2025-01-11,378.6,1369,United Kingdom
INV777551,SKU1645,Product SKU1645,5,2025-01-11,158.41,1377,United Kingdom
INV523041,SKU1617,Product SKU1617,11,2025-01-11,94.58,1239,United Kingdom
INV891975,SKU1073,Product SKU1073,12,2025-01-12,22.23,1163,United Kingdom
INV955876,SKU1950,Product SKU1950,4,2025-01-12,255.19,1205,United Kingdom
INV804706,SKU1490,Product SKU1490,11,2025-01-12,67.54,1162,United Kingdom
INV587030,SKU1927,Product SKU1927,14,2025-01-12,90.56,1097,United Kingdom
INV195494,SKU1657,Product SKU1657,1,2025-01-12,207.31,1335,United Kingdom
INV382803,SKU1123,Product SKU1123,6,2025-01-12,338.92,1201,United Kingdom
INV638181,SKU1529,Product SKU1529,3,2025-01-12,28.51,1092,United Kingdom
INV758210,SKU1753,Product SKU1753,5,2025-01-12,486.21,1244,United Kingdom
INV526802,SKU1121,Product SKU1121,1,2025-01-12,37.18,1357,United Kingdom
INV241398,SKU1524,Product SKU1524,13,2025-01-12,291.71,1037,United Kingdom
INV882119,SKU1601,Product SKU1601,4,2025-01-13,439.27,1205,United Kingdom
INV390699,SKU1255,Product SKU1255,5,2025-01-13,97.56,1342,United Kingdom
INV906564,SKU1102,Product SKU1102,8,2025-01-13,435.31,1098,United Kingdom
INV584427,SKU1051,Product SKU1051,3,2025-01-13,423.1,1299,United Kingdom
INV231436,SKU1602,Product SKU1602,6,2025-01-13,202.07,1299,United Kingdom
INV945453,SKU1188,Product SKU1188,8,2025-01-13,217.57,1456,United Kingdom
INV102257,SKU1741,Product SKU1741,13,2025-01-13,266.32,1098,United Kingdom
INV902348,SKU1639,Product SKU1639,10,2025-01-13,83.41,1143,United Kingdom
INV924322,SKU1986,Product SKU1986,10,2025-01-13,214.21,1407,United Kingdom
INV378495,SKU1036,Product SKU1036,5,2025-01-13,33.61,1138,United Kingdom
INV476047,SKU1832,Product SKU1832,14,2025-01-13,321.08,1109,United Kingdom
INV794879,SKU1498,Product SKU1498,13,2025-01-13,383.25,1145,United Kingdom
INV556887,SKU1111,Product SKU1111,12,2025-01-13,89.07,1096,United Kingdom
INV548484,SKU1899,Product SKU1899,3,2025-01-13,84.24,1402,United Kingdom
INV570455,SKU1018,Product SKU1018,6,2025-01-13,47.3,1188,United Kingdom
INV641060,SKU1459,Product SKU1459,8,2025-01-14,55.94,1454,United Kingdom
INV686801,SKU1922,Product SKU1922,8,2025-01-14,308.75,1377,United Kingdom
INV302945,SKU1157,Product SKU1157,4,2025-01-14,425.61,1434,United Kingdom
INV245016,SKU1418,Product SKU1418,5,2025-01-14,24.72,1062,United Kingdom
INV262776,SKU1347,Product SKU1347,8,2025-01-14,52.15,1375,United Kingdom
INV801346,SKU1156,Product SKU1156,10,2025-01-14,200.29,1486,United Kingdom
INV739411,SKU1840,Product SKU1840,2,2025-01-15,52.14,1454,United Kingdom
INV544258,SKU1134,Product SKU1134,14,2025-01-15,469.88,1497,United Kingdom
INV676265,SKU1297,Product SKU1297,11,2025-01-15,27.27,1295,United Kingdom
INV674694,SKU1617,Product SKU1617,5,2025-01-15,87.44,1416,United Kingdom
INV957756,SKU1289,Product SKU1289,4,2025-01-15,396.58,1010,United Kingdom
INV350072,SKU1492,Product SKU1492,7,2025-01-15,81.22,1180,United Kingdom
INV147800,SKU1826,Product SKU1826,3,2025-01-15,437.35,1347,United Kingdom
INV185745,SKU1498,Product SKU1498,9,2025-01-15,26.55,1463,United Kingdom
INV218576,SKU1721,Product SKU1721,12,2025-01-15,27.62,1483,United Kingdom
INV856892,SKU1648,Product SKU1648,5,2025-01-15,29.45,1012,United Kingdom
INV844314,SKU1633,Product SKU1633,14,2025-01-15,40.21,1423,United Kingdom
INV651872,SKU1752,Product SKU1752,2,2025-01-16,263.74,1409,United Kingdom
INV554151,SKU1616,Product SKU1616,11,2025-01-16,174.15,1128,United Kingdom
INV922805,SKU1997,Product SKU1997,8,2025-01-16,14.84,1388,United Kingdom
INV934354,SKU1617,Product SKU1617,5,2025-01-16,36.34,1187,United Kingdom
INV391464,SKU1329,Product SKU1329,6,2025-01-16,288.91,1098,United Kingdom
INV349402,SKU1977,Product SKU1977,3,2025-01-16,38.63,1225,United Kingdom
INV678688,SKU1575,Product SKU1575,13,2025-01-16,493.64,1077,United Kingdom
INV936429,SKU1869,Product SKU1869,8,2025-01-16,234.47,1377,United Kingdom
INV754669,SKU1464,Product SKU1464,11,2025-01-16,370.92,1290,United Kingdom
INV486868,SKU1296,Product SKU1296,4,2025-01-16,60.11,1391,United Kingdom
INV991490,SKU1532,Product SKU1532,14,2025-01-16,285.53,1164,United Kingdom
INV567435,SKU1891,Product SKU1891,13,2025-01-16,293.14,1190,United Kingdom
INV605329,SKU1884,Product SKU1884,12,2025-01-16,21.88,1242,United Kingdom
INV317291,SKU1985,Product SKU1985,8,2025-01-17,60.52,1455,United Kingdom
INV299294,SKU1379,Product SKU1379,8,2025-01-17,47.32,1238,United Kingdom
INV620551,SKU1223,Product SKU1223,2,2025-01-17,353.6,1032,United Kingdom
INV670071,SKU1092,Product SKU1092,3,2025-01-17,141.86,1332,United Kingdom
INV958407,SKU1202,Product SKU1202,2,2025-01-17,15.29,1403,United Kingdom
INV740337,SKU1628,Product SKU1628,8,2025-01-18,66.17,1326,United Kingdom
INV451136,SKU1229,Product SKU1229,2,2025-01-18,69.34,1204,United Kingdom
INV573006,SKU1710,Product SKU1710,9,2025-01-18,211.6,1208,United Kingdom
INV199919,SKU1215,Product SKU1215,11,2025-01-18,107.34,1407,United Kingdom
INV966262,SKU1492,Product SKU1492,6,2025-01-18,309.32,1347,United Kingdom
INV857730,SKU1948,Product SKU1948,6,2025-01-18,340.08,1456,United Kingdom
INV726627,SKU1792,Product SKU1792,4,2025-01-19,73.21,1416,United Kingdom
INV954727,SKU1732,Product SKU1732,8,2025-01-19,71.47,1289,United Kingdom
INV936507,SKU1023,Product SKU1023,8,2025-01-19,75.09,1465,United Kingdom
INV317813,SKU1197,Product SKU1197,11,2025-01-19,122.63,1109,United Kingdom
INV919564,SKU1300,Product SKU1300,7,2025-01-19,103.82,1208,United Kingdom
INV944846,SKU1065,Product SKU1065,3,2025-01-19,23.52,1396,United Kingdom
INV373363,SKU1184,Product SKU1184,14,2025-01-19,382.69,1312,United Kingdom
INV641486,SKU1392,Product SKU1392,7,2025-01-19,59.67,1360,United Kingdom
INV668651,SKU1584,Product SKU1584,8,2025-01-19,368.38,1083,United Kingdom
INV736364,SKU1621,Product SKU1621,1,2025-01-20,215.47,1436,United Kingdom
INV262007,SKU1855,Product SKU1855,7,2025-01-20,215.15,1201,United Kingdom
INV249369,SKU1753,Product SKU1753,13,2025-01-20,204.09,1029,United Kingdom
INV351537,SKU1989,Product SKU1989,12,2025-01-20,44.06,1055,United Kingdom
INV800975,SKU1969,Product SKU1969,2,2025-01-20,30.47,1286,United Kingdom
INV638884,SKU1805,Product SKU1805,6,2025-01-20,81.91,1019,United Kingdom
INV235024,SKU1561,Product SKU1561,10,2025-01-20,44.43,1382,United Kingdom
INV711561,SKU1714,Product SKU1714,7,2025-01-21,436.72,1334,United Kingdom
INV918403,SKU1376,Product SKU1376,2,2025-01-21,95.84,1406,United Kingdom
INV252117,SKU1184,Product SKU1184,7,2025-01-21,80.15,1181,United Kingdom
INV477501,SKU1269,Product SKU1269,2,2025-01-21,166.38,1077,United Kingdom
INV591422,SKU1149,Product SKU1149,8,2025-01-21,97.49,1352,United Kingdom
INV795385,SKU1296,Product SKU1296,13,2025-01-21,59.05,1172,United Kingdom
INV950538,SKU1336,Product SKU1336,5,2025-01-21,459.21,1042,United Kingdom
INV653172,SKU1310,Product SKU1310,5,2025-01-22,31.97,1108,United Kingdom
INV878424,SKU1468,Product SKU1468,2,2025-01-22,23.6,1163,United Kingdom
INV907784,SKU1600,Product SKU1600,9,2025-01-22,24.85,1278,United Kingdom
INV396412,SKU1843,Product SKU1843,8,2025-01-22,338.5,1259,United Kingdom
INV779590,SKU1727,Product SKU1727,10,2025-01-22,82.96,1496,United Kingdom
INV756051,SKU1948,Product SKU1948,4,2025-01-22,29.77,1158,United Kingdom
INV773217,SKU1172,Product SKU1172,6,2025-01-22,57.29,1169,United Kingdom
INV604609,SKU1110,Product SKU1110,1,2025-01-22,419.39,1283,United Kingdom
INV609698,SKU1869,Product SKU1869,9,2025-01-22,56.96,1254,United Kingdom
INV623375,SKU1057,Product SKU1057,2,2025-01-22,139.03,1072,United Kingdom
INV693775,SKU1989,Product SKU1989,2,2025-01-22,31.18,1323,United Kingdom
INV562110,SKU1391,Product SKU1391,9,2025-01-22,10.89,1469,United Kingdom
INV699406,SKU1107,Product SKU1107,7,2025-01-22,44.49,1217,United Kingdom
INV510482,SKU1313,Product SKU1313,5,2025-01-22,128.36,1109,United Kingdom
INV887560,SKU1675,Product SKU1675,3,2025-01-23,70.66,1423,United Kingdom
INV309966,SKU1525,Product SKU1525,9,2025-01-23,34.37,1288,United Kingdom
INV202974,SKU1143,Product SKU1143,1,2025-01-23,192.89,1010,United Kingdom
INV639745,SKU1328,Product SKU1328,13,2025-01-23,52.64,1423,United Kingdom
INV978260,SKU1293,Product SKU1293,9,2025-01-23,354.13,1201,United Kingdom
INV980520,SKU1758,Product SKU1758,3,2025-01-23,163.71,1440,United Kingdom
INV412051,SKU1423,Product SKU1423,4,2025-01-24,459.16,1334,United Kingdom
INV699255,SKU1055,Product SKU1055,10,2025-01-24,56.16,1484,United Kingdom
INV253048,SKU1400,Product SKU1400,4,2025-01-24,20.83,1345,United Kingdom
INV821909,SKU1227,Product SKU1227,10,2025-01-24,51.32,1063,United Kingdom
INV551989,SKU1356,Product SKU1356,11,2025-01-24,373.89,1237,United Kingdom
INV129986,SKU1851,Product SKU1851,6,2025-01-24,438.62,1374,United Kingdom
INV546991,SKU1182,Product SKU1182,3,2025-01-25,40.46,1175,United Kingdom
INV414557,SKU1141,Product SKU1141,11,2025-01-25,321.89,1171,United Kingdom
INV649999,SKU1411,Product SKU1411,3,2025-01-25,34.53,1108,United Kingdom
INV408617,SKU1507,Product SKU1507,13,2025-01-25,210.49,1100,United Kingdom
INV302380,SKU1117,Product SKU1117,2,2025-01-25,25.45,1054,United Kingdom
INV982566,SKU1639,Product SKU1639,10,2025-01-25,82.44,1268,United Kingdom
INV732387,SKU1394,Product SKU1394,3,2025-01-25,359.53,1006,United Kingdom
INV656110,SKU1580,Product SKU1580,13,2025-01-25,63.96,1054,United Kingdom
INV300065,SKU1633,Product SKU1633,10,2025-01-25,58.82,1239,United Kingdom
INV730270,SKU1802,Product SKU1802,3,2025-01-25,39.73,1146,United Kingdom
INV502980,SKU1001,Product SKU1001,5,2025-01-25,20.45,1095,United Kingdom
INV863978,SKU1806,Product SKU1806,2,2025-01-25,57.26,1015,United Kingdom
INV365039,SKU1988,Product SKU1988,1,2025-01-26,434.57,1190,United Kingdom
INV682570,SKU1804,Product SKU1804,7,2025-01-26,429.1,1436,United Kingdom
INV517582,SKU1005,Product SKU1005,10,2025-01-26,52.62,1149,United Kingdom
INV470250,SKU1968,Product SKU1968,12,2025-01-26,48.39,1133,United Kingdom
INV534737,SKU1976,Product SKU1976,6,2025-01-26,126.05,1476,United Kingdom
INV240777,SKU1008,Product SKU1008,9,2025-01-26,62.39,1352,United Kingdom
INV411997,SKU1083,Product SKU1083,2,2025-01-26,102.99,1237,United Kingdom
INV523380,SKU1862,Product SKU1862,12,2025-01-26,96.25,1370,United Kingdom
INV899448,SKU1154,Product SKU1154,10,2025-01-26,40.94,1195,United Kingdom
INV152344,SKU1301,Product SKU1301,4,2025-01-26,18.64,1199,United Kingdom
INV700577,SKU1865,Product SKU1865,7,2025-01-27,357.41,1424,United Kingdom
INV500327,SKU1800,Product SKU1800,1,2025-01-27,108.0,1409,United Kingdom
INV616915,SKU1658,Product SKU1658,11,2025-01-27,453.87,1377,United Kingdom
INV779222,SKU1285,Product SKU1285,4,2025-01-27,39.36,1157,United Kingdom
INV996165,SKU1318,Product SKU1318,2,2025-01-27,95.49,1362,United Kingdom
INV533603,SKU1464,Product SKU1464,14,2025-01-27,254.42,1208,United Kingdom
INV393805,SKU1802,Product SKU1802,1,2025-01-27,223.91,1440,United Kingdom
INV204997,SKU1196,Product SKU1196,11,2025-01-27,150.62,1440,United Kingdom
INV677218,SKU1849,Product SKU1849,14,2025-01-27,160.42,1032,United Kingdom
INV254536,SKU1962,Product SKU1962,9,2025-01-28,45.52,1172,United Kingdom
INV173686,SKU1078,Product SKU1078,8,2025-01-28,388.21,1006,United Kingdom
INV345739,SKU1940,Product SKU1940,5,2025-01-28,372.88,1098,United Kingdom
INV280685,SKU1612,Product SKU1612,6,2025-01-28,423.23,1434,United Kingdom
INV479346,SKU1260,Product SKU1260,6,2025-01-28,134.78,1356,United Kingdom
INV810349,SKU1387,Product SKU1387,4,2025-01-28,108.85,1347,United Kingdom
INV356681,SKU1336,Product SKU1336,12,2025-01-28,38.43,1207,United Kingdom
INV370804,SKU1912,Product SKU1912,12,2025-01-28,246.5,1424,United Kingdom
INV190381,SKU1940,Product SKU1940,2,2025-01-28,64.88,1480,United Kingdom
INV484708,SKU1191,Product SKU1191,11,2025-01-28,57.54,1132,United Kingdom
INV429793,SKU1163,Product SKU1163,5,2025-01-28,20.72,1039,United Kingdom
INV268265,SKU1470,Product SKU1470,7,2025-01-28,255.75,1458,United Kingdom
INV538963,SKU1253,Product SKU1253,14,2025-01-28,123.85,1171,United Kingdom
INV695730,SKU1859,Product SKU1859,13,2025-01-29,77.24,1496,United Kingdom
INV135187,SKU1523,Product SKU1523,1,2025-01-29,499.28,1222,United Kingdom
INV681780,SKU1779,Product SKU1779,8,2025-01-29,54.98,1022,United Kingdom
INV481148,SKU1053,Product SKU1053,5,2025-01-29,42.99,1404,United Kingdom
INV827449,SKU1211,Product SKU1211,10,2025-01-29,193.6,1334,United Kingdom
INV289773,SKU1768,Product SKU1768,9,2025-01-29,22.52,1238,United Kingdom
INV876230,SKU1859,Product SKU1859,4,2025-01-29,23.28,1315,United Kingdom
INV404224,SKU1010,Product SKU1010,2,2025-01-29,23.07,1057,United Kingdom
INV427304,SKU1195,Product SKU1195,9,2025-01-29,88.18,1030,United Kingdom
INV439606,SKU1757,Product SKU1757,14,2025-01-29,332.53,1244,United Kingdom
INV748074,SKU1033,Product SKU1033,6,2025-01-29,248.73,1032,United Kingdom
INV429064,SKU1308,Product SKU1308,3,2025-01-29,262.43,1335,United Kingdom
INV620114,SKU1817,Product SKU1817,11,2025-01-29,435.36,1222,United Kingdom
INV467057,SKU1099,Product SKU1099,3,2025-01-30,278.18,1440,United Kingdom
INV655474,SKU1305,Product SKU1305,9,2025-01-30,92.26,1180,United Kingdom
INV236998,SKU1108,Product SKU1108,9,2025-01-30,80.89,1060,United Kingdom
INV339608,SKU1756,Product SKU1756,2,2025-01-30,42.66,1176,United Kingdom
INV412434,SKU1090,Product SKU1090,4,2025-01-30,48.55,1375,United Kingdom
INV170390,SKU1106,Product SKU1106,3,2025-01-30,75.81,1005,United Kingdom
INV525643,SKU1309,Product SKU1309,10,2025-01-30,261.7,1205,United Kingdom
INV566589,SKU1278,Product SKU1278,11,2025-01-30,416.56,1168,United Kingdom
INV667922,SKU1520,Product SKU1520,1,2025-01-30,318.34,1472,United Kingdom
INV853702,SKU1239,Product SKU1239,13,2025-01-30,135.99,1472,United Kingdom
INV968331,SKU1047,Product SKU1047,2,2025-01-31,39.5,1234,United Kingdom
INV671926,SKU1426,Product SKU1426,10,2025-01-31,427.98,1032,United Kingdom
INV817167,SKU1559,Product SKU1559,6,2025-01-31,22.63,1344,United Kingdom
INV846355,SKU1935,Product SKU1935,7,2025-01-31,18.62,1412,United Kingdom
INV279587,SKU1625,Product SKU1625,13,2025-01-31,97.76,1087,United Kingdom
INV670953,SKU1531,Product SKU1531,12,2025-01-31,159.36,1356,United Kingdom
INV864948,SKU1731,Product SKU1731,1,2025-01-31,99.21,1387,United Kingdom
INV823055,SKU1402,Product SKU1402,7,2025-01-31,497.51,1190,United Kingdom
INV173820,SKU1519,Product SKU1519,2,2025-02-01,92.35,1457,United Kingdom
INV175582,SKU1012,Product SKU1012,13,2025-02-01,409.52,1335,United Kingdom
INV896551,SKU1118,Product SKU1118,8,2025-02-01,54.8,1487,United Kingdom
INV661337,SKU1174,Product SKU1174,6,2025-02-01,32.83,1483,United Kingdom
INV279504,SKU1269,Product SKU1269,14,2025-02-01,11.21,1384,United Kingdom
INV326280,SKU1237,Product SKU1237,3,2025-02-01,307.4,1300,United Kingdom
INV426022,SKU1277,Product SKU1277,4,2025-02-01,317.94,1072,United Kingdom
INV390886,SKU1568,Product SKU1568,9,2025-02-02,406.13,1205,United Kingdom
INV680206,SKU1146,Product SKU1146,13,2025-02-02,368.1,1312,United Kingdom
INV156680,SKU1753,Product SKU1753,10,2025-02-02,186.38,1456,United Kingdom
INV549764,SKU1524,Product SKU1524,6,2025-02-02,347.17,1168,United Kingdom
INV635244,SKU1824,Product SKU1824,4,2025-02-02,459.78,1374,United Kingdom
INV987558,SKU1365,Product SKU1365,3,2025-02-03,236.75,1339,United Kingdom
INV409044,SKU1904,Product SKU1904,2,2025-02-03,465.12,1205,United Kingdom
INV546021,SKU1017,Product SKU1017,1,2025-02-03,260.92,1369,United Kingdom
INV629650,SKU1951,Product SKU1951,11,2025-02-03,14.59,1475,United Kingdom
INV888326,SKU1266,Product SKU1266,4,2025-02-03,492.39,1339,United Kingdom
INV895600,SKU1482,Product SKU1482,8,2025-02-04,96.47,1081,United Kingdom
INV401614,SKU1214,Product SKU1214,12,2025-02-04,59.4,1375,United Kingdom
INV596246,SKU1526,Product SKU1526,7,2025-02-04,387.7,1201,United Kingdom
INV924628,SKU1538,Product SKU1538,14,2025-02-04,484.65,1171,United Kingdom
INV868013,SKU1195,Product SKU1195,13,2025-02-04,227.63,1407,United Kingdom
INV149847,SKU1286,Product SKU1286,9,2025-02-04,83.47,1095,United Kingdom
INV817186,SKU1758,Product SKU1758,13,2025-02-04,12.15,1183,United Kingdom
INV150711,SKU1540,Product SKU1540,4,2025-02-04,92.94,1225,United Kingdom
INV240688,SKU1201,Product SKU1201,9,2025-02-04,282.15,1424,United Kingdom
INV396952,SKU1439,Product SKU1439,9,2025-02-05,61.18,1229,United Kingdom
INV501519,SKU1087,Product SKU1087,7,2025-02-05,85.43,1496,United Kingdom
INV997767,SKU1741,Product SKU1741,1,2025-02-05,67.66,1047,United Kingdom
INV700684,SKU1567,Product SKU1567,11,2025-02-05,479.11,1190,United Kingdom
INV879680,SKU1159,Product SKU1159,5,2025-02-05,438.61,1377,United Kingdom
INV482605,SKU1549,Product SKU1549,8,2025-02-06,22.76,1410,United Kingdom
